"","Bulan","Respons_Jagung","Jagung_Lwr_95","Jagung_Upr_95","Respons_Ayam","Ayam_Lwr_95","Ayam_Upr_95"
"1",1,-0.544652195450121,-0.692623304090293,-0.367008167117111,0.37418586950245,0.0172384411650873,0.663766587955232
"2",2,-0.750592351203405,-1.17313333468034,-0.376810502228327,0.945824621263363,0.443799936257388,1.32240967014208
"3",3,-1.29820922561534,-2.25957328307657,-0.499064993831213,0.962021196760151,0.422265176440885,1.23603968792064
"4",4,-1.56075505084593,-2.77125544716864,-0.543312286607948,0.737002948304653,0.29404152412411,1.13508011435427
"5",5,-1.46676317683397,-2.69591758172025,-0.464904340387344,0.552101926359191,0.143931878407944,0.983033152084882
"6",6,-1.19959371044376,-2.35070909759406,-0.349254428509672,0.450403613887174,0.0830166250194001,0.819462298253259
"7",7,-0.90623239052942,-1.95198932765087,-0.229166912126872,0.393318070669662,0.0463671214436929,0.679005671534568
"8",8,-0.650743147338001,-1.58251016463826,-0.0807338137315727,0.350659654148124,0.0225134480187167,0.568949983682459
"9",9,-0.449532127133071,-1.26360770857294,0.0176368983783086,0.311368720464177,0.0121539105706279,0.550874713804798
"10",10,-0.300465522579124,-0.998005503023798,0.0882667534484237,0.273443548766956,0.00843367461162581,0.520276572055025
"11",11,-0.195387478153802,-0.782595302022683,0.106966581698473,0.237243184548139,0.0074232880219882,0.473537407167129
"12",12,-0.124635376909321,-0.611371527174628,0.0934369126695282,0.203403184572551,0.0076839733244008,0.425616737186433
