"","Provinsi","Tahun","Bulan","Curah_Hujan","Produksi_Jagung_Bulanan","Produksi_Ayam_Bulanan","Kebutuhan_Jagung_Bulanan","Neraca_Jagung_Bulanan","Status"
"1","banten",2020,1,282.107270812988,411.857166578194,17646.17725,17859.8852789792,-17448.028112401,"DEFISIT"
"2","banten",2020,2,447.537310791016,1027.73524884138,17646.17725,17859.8852789792,-16832.1500301379,"DEFISIT"
"3","banten",2020,3,431.584176635742,2881.21688655902,17646.17725,17859.8852789792,-14978.6683924202,"DEFISIT"
"4","banten",2020,4,301.701667785645,2302.95681142412,17646.17725,17859.8852789792,-15556.9284675551,"DEFISIT"
"5","banten",2020,5,323.233990478516,1577.60711615391,20360.97375,20607.5599372837,-19029.9528211298,"DEFISIT"
"6","banten",2020,6,160.540798187256,1422.47470275345,17646.17725,17859.8852789792,-16437.4105762258,"DEFISIT"
"7","banten",2020,7,120.140747833252,1978.95822559926,17646.17725,17859.8852789792,-15880.92705338,"DEFISIT"
"8","banten",2020,8,206.003360748291,2426.658455541,17646.17725,17859.8852789792,-15433.2268234382,"DEFISIT"
"9","banten",2020,9,226.901172637939,2737.61015074533,17646.17725,17859.8852789792,-15122.2751282339,"DEFISIT"
"10","banten",2020,10,311.898345947266,1668.28491105668,17646.17725,17859.8852789792,-16191.6003679226,"DEFISIT"
"11","banten",2020,11,306.49412689209,889.585405508274,17646.17725,17859.8852789792,-16970.299873471,"DEFISIT"
"12","banten",2020,12,277.952694702148,1024.9349192394,20360.97375,20607.5599372837,-19582.6250180443,"DEFISIT"
"13","banten",2021,1,296.952505493164,175.014665051037,15284.47375,15469.5798334775,-15294.5651684265,"DEFISIT"
"14","banten",2021,2,466.862628173828,392.30152154615,15284.47375,15469.5798334775,-15077.2783119314,"DEFISIT"
"15","banten",2021,3,333.239385986328,1512.27172560464,15284.47375,15469.5798334775,-13957.3081078729,"DEFISIT"
"16","banten",2021,4,239.705587768555,1043.59683612223,15284.47375,15469.5798334775,-14425.9829973553,"DEFISIT"
"17","banten",2021,5,209.371012878418,810.959183762021,17635.93125,17849.515192474,-17038.556008712,"DEFISIT"
"18","banten",2021,6,196.884306335449,837.978832744482,15284.47375,15469.5798334775,-14631.601000733,"DEFISIT"
"19","banten",2021,7,125.516053009033,1070.61847392905,15284.47375,15469.5798334775,-14398.9613595485,"DEFISIT"
"20","banten",2021,8,167.920780181885,1210.67697979523,15284.47375,15469.5798334775,-14258.9028536823,"DEFISIT"
"21","banten",2021,9,231.346967315674,979.076963790268,15284.47375,15469.5798334775,-14490.5028696872,"DEFISIT"
"22","banten",2021,10,321.814248657227,624.67301660689,15284.47375,15469.5798334775,-14844.9068168706,"DEFISIT"
